Day,Score
1,96
1,95.19
1,94.86
1,94.04
1,93.71
1,93.46
1,92.57
1,90.86
1,90.19
1,88.57
1,88.27
1,88.08
1,87.5
1,87.5
1,86.92
1,85.14
1,82.69
1,81.54
1,81.14
1,81.14
1,80.96
1,80.57
1,80.19
1,80
1,72.57
1,70.29
1,65.71
1,56
1,53.71
2,97.31
2,96.47
2,96.35
2,95.19
2,95
2,92.31
2,91.54
2,91.54
2,90
2,89.42
2,87.31
2,86.92
2,86.92
2,86.92
2,86.54
2,86.35
2,85.77
2,85.38
2,85.38
2,85.14
2,84.23
2,82.69
2,82.12
2,81.54
2,79.81
2,79.42
2,77.88
2,77.69
2,75.96
2,71.35
2,67.5
