year,return
1985,20.48797041
1986,16.76593806
1987,-12.08875115
1988,16.42006789
1989,3.613257023
1990,-0.384794624
1991,49.73684308
1992,12.27487501
1993,14.95389321
1994,-5.655422519
1995,40.33236522
1996,30.20031565
1997,17.35768476
1998,54.74569683
1999,57.24354486
2000,-29.63239532
2001,-30.24816542
2002,-31.70167918
2003,56.41866962
2004,-0.18101252
2005,11.80222004
2006,6.856990543
2007,-3.006166045
2008,-38.2214867
2009,45.44303342
2010,25.74009615
2011,4.213208746
2012,11.66696702
2013,30.60821913
2014,12.94775593
2015,-0.459308211
2016,21.69160484
2017,31.99923645
2018,-1.750524138
2019,25.6696907
2020,42.83439533
